index, Name, Density 
1,Werra-Meissner-Kreis,97.39
2,Kassel-City,1877.94
3,Kassel,155.1
4,Waldeck-Frankenberg,84.56
5,Hersfeld-Rotenburg,109.19
6,Schwalm-Eder-Kreis,116.5
7,Fulda,86.9
8,Marburg-Biedenkopf,194.52
9,Lahn-Dill-Kreis,237.15
10,Limburg-Weilburg,232.76
11,Giessen,317.43
12,Vogelsbergkreis,72.2
13,Main-Kinzig-Kreis,300.91
14,Wetteraukreis,281.49
15,Rheingau-Taunus-Kreis,230.44
16,Hochtaunuskreis,491.47
17,Wiesbaden,1361.92
18,Main-Taunus-Kreis,1073.23
19,Frankfurt-am-Main,3066.42
20,Offenbach-am-Main,2905.35
21,Offenbach,997.71
22,Gross-Gerau,606.95
23,Darmstadt,1299.42
24,Darmstadt-Dieburg,451.1
25,Odenwaldkreis,154.31
26,Bergstrasse,375.9
